Id,Task,Required Database,Required Tables,Correct Answer,Answer,Used SQL command,Amount of Tokens
1,Which driver has the most wins in Formual 1?,formula1,"[standings, drivers]","[('Lewis', 'Hamilton')]",,,
2,Give me the latest search query on Avito.,avito,"[searchStream, searchInfo]","[(None,)]",,,
3,Give me the titles of the 2 most recent clinical trials.,clinicalTrial,"[studies]","[('2023-12-11 00:00:00', 'A Multi-center, Open-label, Single-arm Clinical Trial to Evaluate the Efficacy and Safety of Remimazolam Tosilate for Injection for Sedation in Upper Gastrointestinal Endoscopy'), ('2023-12-08 00:00:00', 'Tear Film Markers in Dry Eye Syndrome: Impact of Immunomodulatory Therapy')]",,,
4,Give me the total number of posts in Stack-Exchange.,stack,"[posts]","[(415913,)]",,,
5,How many clinical studies are available?,clinicalTrial,"[studies]","[(273160,)]",,,
6,What is the most purchased product from H&M?,hm,"[transaction, article]","[('Jade HW Skinny Denim TRS', 31848)]",,,
7,How many comments does the most frequently commented post on Stack Exchange have?,stack,"[posts, comments]","[(66,)]",,,
8,How many searches did Avito have on April 28. 2015?,avito,"[searchStream]","[(361935,)]",,,
9,Name 3 clinical trial sponsors.,clinicalTrial,[sponsors],"[(0, 'Johns Hopkins All Children's Hospital', 'OTHER'), (1, 'Florida Department of Health', 'OTHER_GOV'), (2, 'NYU Langone Health', 'OTHER')]",,,
10,How many Formula 1 races were there in 2015?,formula1,"[races]","[(19,)]",,,
11,Give me the ids of the 10 newest posts from Stack-Exchange.,stack,"posts","[(415912,), (415911,), (415910,), (415909,), (415908,), (415907,), (415906,), (415905,), (415904,), (415903,)]",,,
12,What different member statuses does H&M have?,hm,"[customer]","[(None,), ('ACTIVE',), ('LEFT CLUB',), ('PRE-CREATE',)]",,,
13,Tell me 3 Formula 1 drivers from Germany.,formula1,"[drivers]","[('Nick', 'Heidfeld'), ('Nico', 'Rosberg'), ('Timo', 'Glock')]",,,
14,How many users does Avito have?,avito,"[UserInfo]","[(98250,)]",,,
15,Give me the title of the oldest medical study,clinicalTrial,"[studies]","[('2000-01-01 00:00:00', 'Unicentric Retrospective Analysis of a Cohort of 602 Young Adult and Adolescent Patients (AJA), Aged 15 to 30 Years, With Haematological Malignancies, and Managed Between 2000 and 2016')]",,,
16,Tell me the 8 most expensive products from H&M,hm,"[article, transaction]","[('CEMENT Perfecto leather jacket',), ('CEMENT Perfecto leather jacket',), ('POWDER shearling biker',), ('POWDER shearling biker',), ('POWDER shearling biker',), ('LEMON shearling jacket',), ('PQ AGDA LEATHER DRESS',), ('PQ AGDA LEATHER DRESS',)]",,,
17,Show me the AccountId of the longest existing user on Stack-Exchange.,stack,"[users]","[(0, -1.0)]",,,
18,How many customers at H&M are younger than 40?,hm,"[customer]","[(834009,)]",,,
